Date,เหรียญ(1) + ธนบัตร(2) + กรมธนารักษ์(3),เหรียญ(1),ธนบัตร(2),กรมธนารักษ์(3),อัตราส่วน(1)/(2)*100
1/31/2005,714267,27780,687861,1374,4.038606637096739
2/28/2005,716435,27908,690010,1483,4.044579064071535
3/31/2005,703999,28358,677092,1451,4.18820485251635
4/30/2005,708360,28599,681317,1556,4.197605519897492
5/31/2005,692362,28791,665225,1654,4.328009320154835
6/30/2005,697436,29015,670118,1697,4.329834447067531
7/31/2005,695242,29219,667258,1235,4.378965857284588
8/31/2005,683699,29491,655329,1121,4.500182351154916
9/30/2005,692665,27216,666590,1141,4.082869529995949
10/31/2005,700704,27480,674958,1734,4.071364440454072
11/30/2005,705911,28151,678882,1122,4.146670555413165
12/31/2005,780649,28442,753252,1045,3.7758943885977074
1/31/2006,765327,28719,737642,1034,3.8933520596712228
2/28/2006,747993,29029,720106,1142,4.031212071556132
3/31/2006,752088,29487,723740,1139,4.074253184845386
4/30/2006,749613,29753,721003,1143,4.126612510627557
5/31/2006,721376,30057,692585,1266,4.339828324321203
6/30/2006,721049,30587,691656,1194,4.422285066564882
7/31/2006,715813,30939,686070,1196,4.509598145961783
8/31/2006,714397,31234,684233,1070,4.56481929401242
9/30/2006,722535,31480,692167,1112,4.548035372966351
10/31/2006,722673,31874,691870,1071,4.606934828797318
11/30/2006,737279,32139,706240,1100,4.550719302220208
12/31/2006,805250,32532,773842,1124,4.203958947692164
1/31/2007,757702,32795,726046,1139,4.516931434096462
2/28/2007,780006,33003,748121,1118,4.411452158140194
3/31/2007,771543,33448,739235,1140,4.524677538265911
4/30/2007,773700,33682,741136,1118,4.544644977440038
5/31/2007,756795,33929,724005,1139,4.6862936029447315
6/30/2007,745449,34208,712414,1173,4.80170238091896
7/31/2007,751172,34291,718075,1194,4.7754064686836335
8/31/2007,747570,34499,714325,1254,4.829594372309523
9/30/2007,766206,34611,732897,1302,4.722491700743761
10/31/2007,770078,35007,736321,1250,4.754312317589747
11/30/2007,802966,35435,768731,1200,4.609544821270379
12/31/2007,877155,35707,842624,1176,4.237595890931186
1/31/2008,848086,36006,813231,1151,4.427524282768365
2/29/2008,849198,36249,814091,1142,4.452696320190249
3/31/2008,845487,36631,809947,1091,4.522641604944521
4/30/2008,846414,36908,810590,1084,4.553226662060967
5/31/2008,833591,37147,797512,1068,4.657860947546871
6/30/2008,835117,37368,798802,1053,4.678005312956151
7/31/2008,827669,37565,791160,1056,4.7480914100814
8/31/2008,834908,37823,798141,1056,4.738886988639852
9/30/2008,835610,38020,798664,1074,4.760449951418869
10/31/2008,856054,38253,818917,1116,4.671169361485963
11/30/2008,854072,38435,816787,1151,4.70563316996965
12/31/2008,961461,38664,923967,1170,4.184565033166769
1/31/2009,909473,38807,871805,1139,4.451339462379775
2/28/2009,911850,38985,874010,1145,4.460475280603196
3/31/2009,899616,39090,861674,1147,4.536518451293644
4/30/2009,922360,39272,884184,1096,4.441609438759353
5/31/2009,902025,39449,863717,1142,4.567352500877023
6/30/2009,888640,39644,850187,1191,4.662974145687949
7/31/2009,889927,39808,851305,1185,4.67611490593853
8/31/2009,897047,40015,858241,1209,4.662443299725835
9/30/2009,897320,40178,858403,1260,4.680552141593168
