เดือน,10 บาท,5 บาท,2 บาท,1 บาท,50 สตางค์,25 สตางค์,10 สตางค์,5 สตางค์,1 สตางค์,รวม,รับคืน,ปีงบประมาณ
10/1/2562,29445900,45021100,19189600,125542633,11780600,24966800,0,0,0,255946633,112118920,2563
11/1/2562,25855100,41113900,19886900,116994700,9557800,21029800,3000,3000,3000,234447200,109675865,2563
12/1/2562,32308000,48639800,25476600,144327000,11043400,22854400,0,0,0,284649200,92164473,2563
1/1/2563,29892800,44951300,22421500,129015400,10380400,21308200,0,0,0,257969600,108898224,2563
2/1/2563,26182300,40510100,19407800,118575100,10928800,23569400,0,0,0,239173500,94316792,2563
3/1/2563,28286200,44465200,22749200,138613600,10201200,22572400,0,0,0,266887800,106040939,2563
4/1/2563,18914200,33051500,16319600,113724900,7254400,15630400,0,0,0,204895000,95027597,2563
5/1/2563,24208200,34855200,16497100,105276600,10385800,21653600,0,0,0,212876500,92986261,2563
6/1/2563,29555100,46195500,21956000,124318400,9812800,19947200,0,0,0,251785000,97908866,2563
7/1/2563,32284300,49671700,21231700,138029500,8462000,17350000,0,0,0,267029200,94681596,2563
8/1/2563,26406800,40242000,16902600,122127900,8941200,18722000,0,0,0,233342500,108152330,2563
9/1/2563,26291700,39304100,16484300,112205000,8747000,16965200,0,0,0,219997300,104153331,2563
10/1/2563,23316300,37448900,14709500,106431800,9676400,19256800,0,0,0,210839700,112753745,2564
11/1/2563,23829520,36103200,15012500,107132600,8826600,16731200,0,0,0,207635620,112671421,2564
12/1/2563,28475160,44406900,17202100,133011700,9588600,18626800,0,0,0,251311260,115787602,2564
1/1/2564,17073240,29275300,15037300,97315200,8364200,16698400,0,0,0,183763640,120028296,2564
2/1/2564,18217880,33744700,15317200,88188800,7685000,14769800,0,0,0,177923380,127453422,2564
3/1/2564,28796920,51991100,16183200,138243800,9460400,19482400,0,0,0,264157820,142551541,2564
4/1/2564,23375280,42254300,13127400,116410400,8358400,15712400,0,0,0,219238180,89283164,2564
5/1/2564,18077900,29468200,12341800,94943700,7580400,9441600,0,0,0,171853600,89111396,2564
6/1/2564,21350700,36052600,13730600,106714400,10917800,8933200,0,0,0,197699300,118891007,2564
7/1/2564,17134900,28700700,10560700,93002000,8988200,7323600,0,0,0,165710100,108170221,2564
8/1/2564,16231400,26046500,9674900,87437000,8664200,9014400,0,0,0,157068400,100042110,2564
9/1/2564,19176700,32087300,10855100,92295600,6916800,16167600,0,0,0,177499100,102209720,2564
10/1/2564,19599500,33762000,10648000,91951800,7183200,16326000,0,0,0,179470500,102971815,2565
11/1/2564,21757600,36725500,11684000,96069000,6754200,13978000,0,0,0,186968300,117755819,2565
12/1/2564,28720500,48520800,14492100,139830600,8971000,18501600,100,100,100,259036900,96334110,2565
1/1/2565,21190300,34961400,11179300,92208700,6968400,14343200,0,0,0,180851300,86303466,2565
2/1/2565,20978100,35336900,10293000,104886700,5423600,11145000,200,200,200,188063900,85833933,2565
3/1/2565,27269100,46162000,14621600,142218000,8582400,17672400,0,0,0,256525500,103852886,2565
4/1/2565,26748200,44247900,14060500,134838200,7459600,15273200,0,0,0,242627600,88174325,2565
5/1/2565,24079100,39427100,13720300,124872200,7219800,14018800,0,0,0,223337300,104912782,2565
6/1/2565,24631000,39448800,12894300,125360500,6240000,12792800,0,0,0,221367400,115588358,2565
7/1/2565,22052900,37158400,11017000,119346500,6374600,12216800,0,0,0,208166200,92193577,2565
8/1/2565,24836500,40581700,12868100,138925700,7023000,14760000,0,0,0,238995000,122588769,2565
9/1/2565,18010100,32418200,9579600,112892500,6521600,13600800,0,0,0,193022800,96678837,2565
10/1/2565,18936900,31636800,8670600,110839400,5424200,12121200,0,0,0,187629100,92707330,2566
11/1/2565,19618500,32773200,10344200,110099100,6857000,15690400,0,0,0,195382400,121001491,2566
12/1/2565,23683800,41535000,10722100,141548200,8106800,16704400,0,0,0,242300300,105559836,2566
1/1/2566,22567200,38468800,10746400,125857500,7305200,14592800,0,0,0,219537900,115328540,2566
2/1/2566,21060100,37170300,11605400,127034700,5865900,11732200,0,0,0,214468600,107764510,2566
3/1/2566,26226200,44018700,13655100,160761000,8686600,17656400,0,0,0,271004000,118304356,2566
4/1/2566,22392300,36448300,11308900,153032200,6050000,12761200,0,0,0,241992900,93983990,2566
5/1/2566,20521900,35714900,12198700,134832100,5236400,10592800,0,0,0,219096800,121557264,2566
6/1/2566,20412700,34603800,11839100,131559200,6878000,14846800,0,0,0,220139600,131850927,2566
7/1/2566,21971500,36765700,11271300,145209200,7021400,13480800,0,0,0,235719900,134059760,2566
8/1/2566,20290700,32368100,10374900,125854200,7486200,15978400,0,0,0,212352500,148688532,2566
9/1/2566,18310300,27741300,8834400,106688600,5912400,13274000,0,0,0,180761000,134180948,2566
10/1/2566,18942800,29302800,7646100,104274600,6404600,14142400,0,0,0,180713300,132435394,2567
11/1/2566,19326300,31772300,9188400,114689300,7160800,15652400,0,0,0,197789500,156613574,2567
12/1/2566,23942500,40035300,10570500,145341800,8005800,18065200,0,0,0,245961100,126735523,2567
1/1/2567,19870700,33197500,9498400,108534500,6541000,14140000,0,0,0,191782100,138889225,2567
2/1/2567,22597200,35277200,9660200,124182900,6495400,14492800,0,0,0,212705700,131962300,2567
3/1/2567,24855500,40918300,11756400,148768171,7143400,16751200,0,0,0,250192971,132868044,2567
4/1/2567,24999100,41104600,11467400,152029400,7425800,16650000,0,0,0,253676300,111170337,2567
5/1/2567,19470000,31047400,10179300,122754300,7334400,15816000,0,0,0,206601400,136944593,2567
6/1/2567,16928500,28938100,9502700,114767600,5739000,13104800,0,0,0,188980700,140175039,2567
7/1/2567,20702300,33218600,10688900,132082900,7210000,15870800,0,0,0,219773500,151745987,2567
8/1/2567,18964600,30789900,9735500,121916000,7399400,17386400,0,0,0,206191800,147523319,2567
